Index,Reconstruction_Error,Anomaly_Score,Is_Anomaly,Severity,Date,Top_Problematic_Features
211,0.6424417871319322,0.9217786702923678,False,Normal,2020-08-29,
212,0.6441013894547044,0.9241598759563525,False,Normal,2020-08-30,
213,0.6550156678229386,0.9398197368231016,False,Normal,2020-08-31,
214,0.6684892221895086,0.9591516596165645,False,Normal,2020-09-01,
215,0.6542567375229036,0.938730819855334,False,Normal,2020-09-02,
216,0.6563090294351619,0.9416754584947019,False,Normal,2020-09-03,
217,0.6724156120633101,0.964785263328863,False,Normal,2020-09-04,
218,0.6602185420095391,0.9472848465738753,False,Normal,2020-09-05,
219,0.6716653927665514,0.9637088449519059,False,Normal,2020-09-06,
220,0.660242343558223,0.9473189971542644,False,Normal,2020-09-07,
221,0.645594852071307,0.9263027035439058,False,Normal,2020-09-08,
222,0.660045185132394,0.9470361132646454,False,Normal,2020-09-09,
223,0.6822161976665402,0.978847192279286,False,Normal,2020-09-10,
224,0.6786722197225095,0.973762275105112,False,Normal,2020-09-11,
225,0.6803131520590948,0.9761166929800918,False,Normal,2020-09-12,
226,0.6858939440946394,0.9841240411394764,False,Normal,2020-09-13,
227,0.6867435652366173,0.9853430817781635,False,Normal,2020-09-14,
228,0.6713026549896611,0.963188386986151,False,Normal,2020-09-15,
229,0.6653362738532863,0.9546277936678094,False,Normal,2020-09-16,
230,0.6315299403344977,0.9061222982554915,False,Normal,2020-09-17,
231,0.6250487495213679,0.8968230534533923,False,Normal,2020-09-18,
232,0.6124999332321289,0.8788179494509305,False,Normal,2020-09-19,
233,0.6239324505743019,0.8952213821740863,False,Normal,2020-09-20,
234,0.6379953064772281,0.9153988377418238,False,Normal,2020-09-21,
235,0.63298094189113,0.9082042025030899,False,Normal,2020-09-22,
236,0.6401638825256986,0.9185103214379746,False,Normal,2020-09-23,
237,0.6515268515337448,0.9348139658655424,False,Normal,2020-09-24,
238,0.6388328187186475,0.9166005044697862,False,Normal,2020-09-25,
239,0.6338769914971786,0.9094898589328604,False,Normal,2020-09-26,
240,0.6283656421633498,0.9015821475071556,False,Normal,2020-09-27,
241,0.6362999935799989,0.912966394368061,False,Normal,2020-09-28,
242,0.6421613148243446,0.9213762472309786,False,Normal,2020-09-29,
243,0.6402491107434074,0.9186326073084841,False,Normal,2020-09-30,
244,0.6304010036640433,0.904502494307835,False,Normal,2020-10-01,
245,0.6472231155730455,0.9286389441116599,False,Normal,2020-10-02,
246,0.6463586757671065,0.9273986415802453,False,Normal,2020-10-03,
247,0.6386373715383216,0.9163200758837232,False,Normal,2020-10-04,
248,0.6515403127634134,0.934833280104798,False,Normal,2020-10-05,
249,0.6546045579399987,0.9392298743190883,False,Normal,2020-10-06,
250,0.6575193215545317,0.9434119916449483,False,Normal,2020-10-07,
251,0.6633205506832268,0.9517356240415622,False,Normal,2020-10-08,
252,0.6457224973160812,0.9264858495757391,False,Normal,2020-10-09,
253,0.6166574061987724,0.8847831123337461,False,Normal,2020-10-10,
254,0.6222253990150276,0.8927720961096585,False,Normal,2020-10-11,
255,0.6155753746367274,0.8832306080688399,False,Normal,2020-10-12,
256,0.6128165103429201,0.8792721758634632,False,Normal,2020-10-13,
257,0.6153022759917878,0.8828387647752788,False,Normal,2020-10-14,
258,0.6040240857434984,0.8666567613337163,False,Normal,2020-10-15,
259,0.5955744156411816,0.8545331326605345,False,Normal,2020-10-16,
260,0.6021466651595375,0.863963028945621,False,Normal,2020-10-17,
261,0.5861459301766205,0.8410050948390949,False,Normal,2020-10-18,
262,0.5983659230672068,0.8585384013943138,False,Normal,2020-10-19,
263,0.5891188867860744,0.8452707077633933,False,Normal,2020-10-20,
264,0.5832201736894642,0.8368072048849404,False,Normal,2020-10-21,
265,0.5936261521034354,0.8517377544501287,False,Normal,2020-10-22,
266,0.586509254467206,0.841526394337616,False,Normal,2020-10-23,
267,0.5786167211647595,0.8302021483148811,False,Normal,2020-10-24,
268,0.5787574790256756,0.8304041083935487,False,Normal,2020-10-25,
269,0.5828383590574134,0.8362593753525541,False,Normal,2020-10-26,
270,0.5876481261472759,0.8431604530864639,False,Normal,2020-10-27,
271,0.5828922542532451,0.8363367044474914,False,Normal,2020-10-28,
272,0.5777978735243704,0.8290272616492744,False,Normal,2020-10-29,
273,0.5955991928267017,0.854568683089507,False,Normal,2020-10-30,
274,0.5835308969411511,0.837253032151326,False,Normal,2020-10-31,
275,0.5937349492894067,0.8518938571934822,False,Normal,2020-11-01,
276,0.5844812250614259,0.8386165676631722,False,Normal,2020-11-02,
277,0.5818995177596994,0.8349123211908286,False,Normal,2020-11-03,
278,0.5796725221166292,0.8317170167698935,False,Normal,2020-11-04,
279,0.5747109947870486,0.824598192689509,False,Normal,2020-11-05,
280,0.581334133865394,0.834101105568283,False,Normal,2020-11-06,
281,0.576420193191714,0.8270505590583778,False,Normal,2020-11-07,
282,0.5818980851203709,0.8349102656327972,False,Normal,2020-11-08,
283,0.5878702079863489,0.8434790972133205,False,Normal,2020-11-09,
284,0.5930352690364115,0.8508899524877888,False,Normal,2020-11-10,
285,0.6081347765463282,0.8725548009352986,False,Normal,2020-11-11,
286,0.6234654716828144,0.8945513585388374,False,Normal,2020-11-12,
287,0.6149527607342953,0.8823372785460959,False,Normal,2020-11-13,
288,0.6298723234637627,0.9037439413279609,False,Normal,2020-11-14,
289,0.6250725727193835,0.8968572350963502,False,Normal,2020-11-15,
290,0.6255232203960944,0.8975038266234415,False,Normal,2020-11-16,
291,0.6219411555826426,0.8923642622196606,False,Normal,2020-11-17,
292,0.6167731236041519,0.8849491442423125,False,Normal,2020-11-18,
293,0.6161436959001645,0.8840460382432198,False,Normal,2020-11-19,
294,0.6163696321638095,0.8843702127176157,False,Normal,2020-11-20,
295,0.6223187327519154,0.8929060118193851,False,Normal,2020-11-21,
296,0.6505492727774654,0.9334113310056712,False,Normal,2020-11-22,
297,0.6515806837816577,0.934891204642493,False,Normal,2020-11-23,
298,0.6483670863283123,0.9302803190389523,False,Normal,2020-11-24,
299,0.6431395860685818,0.9227798756760147,False,Normal,2020-11-25,
